Reproductive Cycles,Healthy Males,Healthy Females,Sterile Males,CRISPR Females
0,1000,984,0,16
1,1484,1460,19,37
2,1421,1494,32,54
3,1447,1436,41,77
4,1414,1426,66,95
5,1442,1367,89,102
6,1419,1366,92,123
7,1330,1423,107,141
8,1369,1348,112,172
9,1319,1352,141,188
10,1284,1336,184,197
11,1226,1368,186,221
12,1225,1349,193,234
13,1209,1347,184,260
14,1191,1334,186,289
15,1196,1282,204,319
16,1162,1239,242,357
17,1131,1215,308,346
18,1097,1249,312,342
19,1086,1258,294,362
20,1106,1264,277,354
21,1099,1241,303,357
22,1084,1245,316,356
23,1100,1248,283,369
24,1106,1155,345,395
25,1131,1127,349,394
26,1099,1116,370,415
27,1081,1124,379,416
28,1116,1078,387,420
29,1080,1104,419,397
30,1110,1092,396,403
31,1089,1075,385,451
32,1055,1059,431,456
33,1035,1062,457,447
34,1026,1068,439,467
35,1014,1072,427,488
36,1014,1055,428,503
37,1042,982,463,514
38,1061,906,526,508
39,1046,900,521,534
40,1018,838,568,576
41,936,843,616,606
42,924,827,629,621
43,894,816,658,632
44,890,799,648,663
45,862,779,661,699
46,848,798,628,727
47,814,761,703,722
48,811,772,676,741
49,747,738,718,798
50,727,753,723,797
51,676,762,694,869
52,679,756,674,891
53,685,750,664,902
54,653,708,697,942
55,615,705,734,947
56,568,740,725,967
57,578,716,750,956
58,583,698,755,964
59,584,644,799,973
60,554,634,841,971
61,558,639,799,1004
62,528,608,855,1009
63,507,584,841,1069
64,524,568,847,1062
65,495,528,909,1068
66,477,501,936,1087
67,482,484,948,1086
68,428,463,995,1115
69,434,431,1036,1100
70,421,439,1020,1120
71,430,430,1005,1136
72,436,402,1012,1151
73,416,364,1059,1162
74,415,363,1045,1177
75,400,339,1091,1171
76,375,311,1119,1196
77,340,288,1170,1202
78,333,278,1174,1216
79,334,257,1196,1213
80,305,243,1239,1214
81,277,220,1242,1261
82,258,215,1246,1281
83,241,187,1283,1290
84,218,164,1259,1359
85,188,144,1284,1385
86,164,132,1313,1391
87,158,125,1305,1413
88,152,112,1331,1405
89,128,91,1355,1427
90,118,74,1370,1438
91,110,71,1393,1426
92,111,60,1401,1428
93,99,41,1411,1450
94,91,27,1439,1444
95,82,7,1455,1457
96,68,0,1473,1460
97,63,0,1462,1476
98,54,0,1457,1489
99,46,0,1466,1488
100,44,0,1465,1474
101,38,0,1421,1439
102,34,0,1386,1409
103,29,0,1364,1391
104,24,0,1270,1326
105,21,0,1195,1224
106,13,0,1102,1124
107,11,0,976,1005
108,7,0,882,911
109,3,0,770,784
110,2,0,651,682
111,1,0,548,591
112,0,0,459,482
113,0,0,372,396
114,0,0,302,328
115,0,0,249,264
116,0,0,183,201
117,0,0,150,155
118,0,0,117,121
119,0,0,88,94
120,0,0,61,66
